account_id,customer,industry,regime_state,previous_mrr,current_mrr
108,Account 000108,Health,growth,319.0556893000,372.2638808000
109,Account 000109,SaaS,stable,64.4578405700,74.5771671900
110,Account 000110,Manufacturing,growth,137.0369069000,149.4799149000
111,Account 000111,Logistics,stable,119.4235531000,85.7366363600
112,Account 000112,Health,stable,68.2872322200,55.2935177300
113,Account 000113,Media,stable,145.7620923000,148.1993508000
114,Account 000114,Retail,growth,347.4460537000,448.8150032000
115,Account 000115,EdTech,decline,290.9639117000,338.6785144000
116,Account 000116,Media,stable,68.9016011100,50.6866483500
117,Account 000117,Energy,growth,53.1397837000,50.0000000000
118,Account 000118,Energy,decline,426.2986685000,468.7899248000
119,Account 000119,Media,decline,139.5010165000,139.3152228000
120,Account 000120,Health,decline,562.9475364000,437.1161748000
121,Account 000121,Manufacturing,stable,424.9003553000,532.2710661000
122,Account 000122,Health,decline,50.0000000000,52.7655914900
123,Account 000123,Retail,stable,131.1316418000,166.5382185000
124,Account 000124,Energy,growth,442.8021169000,456.3745433000
125,Account 000125,EdTech,stable,62.7045728500,55.2360025400
126,Account 000126,Logistics,decline,84.5580331300,88.0465944600
127,Account 000127,Retail,stable,70.8996890500,68.1240827600
128,Account 000128,Energy,stable,96.6320322500,94.9615654600
129,Account 000129,SaaS,decline,71.4079562400,60.0795035000
130,Account 000130,Fintech,growth,104.4138500000,62.0418884000
131,Account 000131,Health,decline,168.0136097000,154.5008303000
132,Account 000132,Fintech,stable,175.4292373000,137.4538890000
133,Account 000133,Energy,decline,64.8075959700,60.9242015000
134,Account 000134,Media,growth,219.2588968000,275.0187570000
135,Account 000135,Fintech,decline,912.1163638000,1264.6763380000
136,Account 000136,Health,growth,50.0000000000,51.8235871100
137,Account 000137,Manufacturing,stable,59.3844472600,50.0000000000
138,Account 000138,Fintech,growth,92.6614337700,122.0011403000
139,Account 000139,Energy,growth,1619.9196320000,1797.6448230000
140,Account 000140,Retail,growth,276.8121773000,341.6007057000
141,Account 000141,Fintech,stable,50.0000000000,59.3116946400
142,Account 000142,Health,decline,257.6132574000,201.2072668000
143,Account 000143,EdTech,decline,74.2413035400,86.9768557500
144,Account 000144,Health,decline,141.5718079000,104.2513402000
145,Account 000145,Retail,stable,57.2517875900,50.0000000000
146,Account 000146,Retail,growth,50.0000000000,56.3732826800
147,Account 000147,Retail,stable,61.2458313800,50.0000000000
148,Account 000148,Retail,stable,101.5493089000,57.3148597500
149,Account 000149,Manufacturing,growth,76.7161254700,71.9655781500
150,Account 000150,Health,stable,273.9275961000,314.6172138000
151,Account 000151,Media,decline,50.0000000000,50.0000000000
152,Account 000152,Media,growth,147.4621759000,146.6251597000
153,Account 000153,Health,stable,161.5337567000,197.8701897000
154,Account 000154,SaaS,growth,827.7794908000,939.1099249000
155,Account 000155,Energy,stable,107.0237898000,120.5822862000
156,Account 000156,Media,stable,121.8859168000,144.6729685000
157,Account 000157,Manufacturing,stable,51.1773281900,50.0000000000
158,Account 000158,EdTech,growth,213.8570280000,240.7965484000
159,Account 000159,Energy,stable,173.5663722000,167.3889361000
160,Account 000160,Energy,decline,94.0894276600,101.6540345000
161,Account 000161,Consulting,growth,103.5502744000,111.8497510000
162,Account 000162,Manufacturing,growth,285.8777205000,342.7640808000
163,Account 000163,Logistics,stable,75.2428311200,72.6821734700
164,Account 000164,Media,stable,54.6366236500,70.2771031800
165,Account 000165,SaaS,growth,171.0220494000,174.1658392000
166,Account 000166,Fintech,stable,61.9658298300,51.6616344500
167,Account 000167,Energy,growth,171.3227217000,235.5944322000
168,Account 000168,Consulting,decline,69.3345505400,73.5446614600
169,Account 000169,Health,stable,53.4089390200,50.0000000000
170,Account 000170,Retail,growth,59.6724521000,62.7997199200
171,Account 000171,Fintech,stable,71.4067417900,58.5703881600
172,Account 000172,Logistics,growth,91.1351703800,111.6423057000
173,Account 000173,Media,stable,62.2566631600,50.0000000000
174,Account 000174,Energy,growth,152.4140056000,177.5146364000
175,Account 000175,Retail,decline,50.0000000000,62.2384140500
176,Account 000176,SaaS,stable,58.0148527100,63.8090564900
177,Account 000177,Energy,stable,56.2109550100,73.2940008600
178,Account 000178,EdTech,growth,223.3845544000,237.7358936000
179,Account 000179,EdTech,stable,262.2913246000,332.2869486000
180,Account 000180,Retail,stable,523.6661735000,602.6167679000
181,Account 000181,Logistics,stable,90.5249709300,58.3859491400
182,Account 000182,Logistics,growth,119.9014184000,145.8024508000
183,Account 000183,SaaS,stable,61.7626210700,58.9701281100
184,Account 000184,Health,growth,96.2694729800,61.5850976400
185,Account 000185,Manufacturing,stable,107.8806930000,104.2653495000
186,Account 000186,Energy,growth,338.8339120000,386.9914530000
187,Account 000187,Fintech,stable,153.9256088000,151.1008241000
188,Account 000188,Media,stable,56.0613104500,62.3782409800
189,Account 000189,Consulting,stable,74.4425280400,50.0000000000
190,Account 000190,SaaS,growth,170.3192255000,50.0000000000
191,Account 000191,Consulting,growth,77.9968187000,62.5727145900
192,Account 000192,Health,growth,199.3052917000,231.2062151000
193,Account 000193,Consulting,stable,205.7585967000,158.5514753000
194,Account 000194,Media,growth,50.0000000000,53.5304866900
195,Account 000195,Retail,decline,785.0441183000,747.7200104000
196,Account 000196,Retail,growth,128.6430947000,121.4108049000
197,Account 000197,Health,growth,90.8338861600,111.4513498000
198,Account 000198,Logistics,growth,289.2874667000,826.6908255000
199,Account 000199,Retail,growth,822.1780490000,939.2885009000
200,Account 000200,Logistics,stable,355.2233214000,387.7226056000
201,Account 000201,Consulting,decline,60.1892056900,71.3738372800
202,Account 000202,Energy,stable,125.7143017000,142.7795150000
203,Account 000203,Logistics,decline,211.4636490000,203.6007329000
204,Account 000204,Logistics,growth,72.4560889400,97.5254754600
205,Account 000205,Energy,stable,67.4295467700,74.8584660900
206,Account 000206,Health,stable,58.2413879200,69.5515918900
207,Account 000207,Retail,decline,77.9208917200,50.0000000000
208,Account 000208,Logistics,growth,50.0000000000,51.8472722600
209,Account 000209,SaaS,decline,123.9004700000,139.2173009000
210,Account 000210,Consulting,growth,62.6597349000,80.0187272100
211,Account 000211,SaaS,growth,282.7617210000,364.7082390000
212,Account 000212,Health,growth,61.1229693300,77.6800049300
213,Account 000213,Consulting,stable,83.7981527700,101.9628314000
214,Account 000214,Retail,decline,185.8651927000,184.1488785000
215,Account 000215,Consulting,decline,75.3037730300,78.7606359400
216,Account 000216,Fintech,stable,50.0000000000,58.0836913100
217,Account 000217,Energy,stable,604.5687874000,780.4271944000
218,Account 000218,EdTech,decline,89.3053991600,89.7212211000
219,Account 000219,Retail,growth,89.0953061000,105.5344358000
220,Account 000220,Energy,growth,66.5465019200,77.2956319300
221,Account 000221,Logistics,stable,50.0000000000,68.8885181400
222,Account 000222,Health,stable,50.0000000000,68.9972325000
223,Account 000223,Consulting,growth,70.7861305300,78.2506163800
224,Account 000224,EdTech,growth,189.1890669000,196.3152163000
225,Account 000225,EdTech,stable,50.0000000000,52.9036095700
226,Account 000226,Logistics,growth,122.9587022000,126.0536477000
227,Account 000227,Media,stable,50.0000000000,55.5387603900
228,Account 000228,Retail,growth,96.5515555400,109.7014578000
229,Account 000229,Manufacturing,stable,50.0000000000,61.3815899400
230,Account 000230,Manufacturing,stable,165.2497941000,206.3683738000
231,Account 000231,Fintech,growth,86.7562665500,112.9199435000
232,Account 000232,SaaS,stable,87.5014887900,112.8890769000
233,Account 000233,Media,growth,152.4062019000,155.7705028000
234,Account 000234,Retail,stable,58.1595573500,50.0000000000
235,Account 000235,EdTech,growth,152.9079730000,168.8209463000
236,Account 000236,Logistics,stable,84.8223508500,82.1892762300
237,Account 000237,EdTech,growth,214.2051336000,59.5576295300
238,Account 000238,EdTech,growth,478.7554316000,559.4986995000
239,Account 000239,EdTech,stable,103.8222679000,121.2586625000
240,Account 000240,Media,stable,4618.5899030000,5987.2867720000
241,Account 000241,Fintech,growth,4734.6670080000,5982.7435030000
242,Account 000242,SaaS,growth,235.4020455000,266.3258974000
243,Account 000243,Health,decline,184.8312445000,146.1216922000
244,Account 000244,EdTech,stable,56.6410586300,50.0000000000
245,Account 000245,Media,growth,20978.5627100000,29422.9724000000
246,Account 000246,SaaS,growth,101.1155642000,50.0000000000
247,Account 000247,Energy,stable,1280.0053970000,1115.4197770000
248,Account 000248,Consulting,growth,1245.7766050000,699.5382737000
249,Account 000249,Health,stable,260.7327919000,292.7517506000
250,Account 000250,Manufacturing,decline,128.1650452000,146.5839880000
251,Account 000251,SaaS,decline,71.3324004500,63.0535588800
252,Account 000252,Energy,stable,65.8596399100,50.0000000000
253,Account 000253,Health,growth,60.7204537100,53.4520627300
254,Account 000254,EdTech,decline,104.4479475000,71.1426867600
255,Account 000255,Logistics,growth,475.2632106000,616.2252249000
256,Account 000256,Manufacturing,growth,115.1588810000,130.7357903000
257,Account 000257,Consulting,growth,621.1561089000,606.1654526000
258,Account 000258,Retail,growth,55.1015681000,69.2793050000
259,Account 000259,Consulting,stable,407.1112716000,529.9233242000
260,Account 000260,Logistics,decline,98.4219074100,115.3628796000
261,Account 000261,Manufacturing,decline,2293.6230890000,2692.0730800000
262,Account 000262,Fintech,decline,150.5735926000,171.0304049000
263,Account 000263,EdTech,stable,166.5862848000,208.4359594000
264,Account 000264,Retail,growth,3319.1119910000,4105.0978900000
265,Account 000265,Health,growth,55.1514313400,59.3761220300
266,Account 000266,Energy,growth,249.1071751000,321.0256178000
267,Account 000267,Retail,growth,321.5898018000,402.4743871000
268,Account 000268,EdTech,decline,326.4132398000,170.6044825000
269,Account 000269,Logistics,growth,61.4932974700,75.7340948400
270,Account 000270,Energy,stable,159.8359117000,152.6255259000
271,Account 000271,Media,stable,53.2811687600,62.1338866300
272,Account 000272,Health,stable,124.6622474000,133.6509472000
273,Account 000273,Energy,decline,126.4806397000,121.0698753000
274,Account 000274,Fintech,stable,50.0000000000,56.1579170100
275,Account 000275,Fintech,stable,53.6865711700,51.7997796000
276,Account 000276,Health,stable,118.5390066000,116.9002131000
277,Account 000277,Fintech,growth,296.7871426000,357.2981524000
278,Account 000278,Retail,growth,57.7468768200,50.0000000000
279,Account 000279,EdTech,growth,204.0601126000,279.5996654000
280,Account 000280,Retail,decline,82.9091673100,93.4478614400
281,Account 000281,SaaS,stable,232.5614774000,281.2216214000
282,Account 000282,Retail,decline,53.4933298500,64.8603226900
283,Account 000283,Manufacturing,stable,170.1054629000,216.2012861000
284,Account 000284,Retail,stable,269.2853920000,230.2961111000
285,Account 000285,Energy,growth,116.1770987000,125.4125260000
286,Account 000286,Retail,decline,283.7218318000,289.3593044000
287,Account 000287,Retail,stable,102.4757609000,88.3039662500
288,Account 000288,Retail,decline,75.7640287300,60.9391178300
289,Account 000289,EdTech,growth,805.5511877000,942.0972421000
290,Account 000290,Media,decline,120.8545774000,149.6516509000
291,Account 000291,EdTech,growth,221.5863074000,286.8608126000
292,Account 000292,Energy,decline,262.5152310000,294.2750104000
293,Account 000293,Manufacturing,growth,50.6079467200,57.6881704700
294,Account 000294,SaaS,stable,112.3519115000,129.9434000000
295,Account 000295,Energy,stable,89.0128372700,59.6297613900
296,Account 000296,Retail,stable,604.6473107000,814.1491725000
297,Account 000297,Logistics,decline,168.7431422000,215.3103734000
298,Account 000298,Retail,decline,114.1136140000,103.2337311000
299,Account 000299,Logistics,growth,96.9140699900,116.8096092000
300,Account 000300,Health,stable,50.0259639600,92.8687436700
301,Account 000301,SaaS,stable,71.0449686200,83.3129660800
302,Account 000302,Manufacturing,growth,134.6594118000,156.8811795000
303,Account 000303,Media,growth,248.7737565000,307.9402359000
304,Account 000304,Logistics,stable,138.0817314000,143.6357992000
305,Account 000305,Manufacturing,stable,979.7983509000,655.8932422000
306,Account 000306,SaaS,stable,63.5175365300,52.9757423200
307,Account 000307,EdTech,growth,50.6624336500,50.0000000000
308,Account 000308,Energy,stable,380.0946837000,446.2516344000
309,Account 000309,Retail,growth,63.4655607300,65.3772844200
310,Account 000310,EdTech,stable,102.2684027000,120.5566709000
311,Account 000311,Manufacturing,growth,68.7293637700,99.9426543800
312,Account 000312,EdTech,growth,50.0000000000,50.0000000000
313,Account 000313,Health,stable,319.2179694000,418.7752886000
314,Account 000314,Fintech,decline,99.5857685700,111.9742432000
315,Account 000315,EdTech,stable,247.8627653000,237.1653084000
316,Account 000316,Consulting,growth,112.8557247000,151.1709025000
317,Account 000317,SaaS,stable,80.8220360900,91.0152518600
318,Account 000318,SaaS,decline,70.8835261000,84.9452338800
319,Account 000319,Logistics,growth,101.0016100000,91.0774211300
320,Account 000320,Health,decline,118.0048687000,118.2249011000
321,Account 000321,SaaS,stable,285.4317745000,288.1603603000
322,Account 000322,Fintech,growth,399.5174449000,563.8197360000
323,Account 000323,EdTech,growth,60.4770273100,76.3936662100
324,Account 000324,Media,stable,642.7295293000,671.8871517000
325,Account 000325,EdTech,stable,100.8647569000,75.0713659600
326,Account 000326,Consulting,growth,77.7630706900,93.2751585300
327,Account 000327,Manufacturing,stable,56.9767382300,54.4322697400
328,Account 000328,Media,growth,102.2864565000,83.8004502400
329,Account 000329,Retail,growth,138.4553288000,145.6112260000
330,Account 000330,Consulting,growth,133.2674937000,159.0654040000
331,Account 000331,EdTech,decline,319.6359479000,354.0705523000
332,Account 000332,Logistics,growth,50.0000000000,62.1087150600
333,Account 000333,Manufacturing,stable,50.0000000000,55.2254023900
334,Account 000334,Fintech,growth,50.7249191000,50.0000000000
335,Account 000335,Energy,stable,61.5576534200,75.9636493700
336,Account 000336,Fintech,stable,2967.0259210000,3170.5932550000
337,Account 000337,Manufacturing,stable,103.0086119000,122.9851174000
338,Account 000338,Fintech,decline,84.4358644200,100.7059313000
339,Account 000339,Consulting,decline,82.7373047400,93.2908299500
340,Account 000340,Media,stable,50.8972809300,59.2553845600
341,Account 000341,SaaS,growth,72.4452318100,69.4282378900
342,Account 000342,Health,stable,83.8229332400,85.2604322200
343,Account 000343,Logistics,growth,177.1005023000,196.0831845000
344,Account 000344,Energy,stable,51.8324218000,50.0000000000
345,Account 000345,Consulting,stable,94.4438526000,123.6265474000
346,Account 000346,Retail,stable,119.7380630000,155.0819404000
347,Account 000347,Energy,decline,86.7928378900,86.1710183000
348,Account 000348,Logistics,growth,162.5758396000,201.3513652000
349,Account 000349,Health,growth,54.6845100900,60.0658080800
350,Account 000350,SaaS,stable,83.4173925700,88.2921768200
351,Account 000351,Consulting,growth,63.5928889100,68.1574618700
352,Account 000352,EdTech,growth,108.0282302000,138.8034954000
353,Account 000353,Media,stable,50.0000000000,55.2160273200
354,Account 000354,EdTech,growth,363.1642866000,450.7528857000
355,Account 000355,EdTech,stable,1715.7611680000,2455.0551040000
356,Account 000356,EdTech,decline,50.0000000000,55.9219789400
357,Account 000357,Retail,growth,699.4936924000,728.1923827000
358,Account 000358,Manufacturing,decline,50.0000000000,50.0000000000
359,Account 000359,Health,growth,240.0537497000,338.7189692000
360,Account 000360,Consulting,stable,81.9264535500,51.1322213100
361,Account 000361,Fintech,decline,197.5737918000,160.2649761000
362,Account 000362,Health,stable,148.3125600000,158.3759145000
363,Account 000363,Manufacturing,stable,57.8531422200,53.6174458700
364,Account 000364,Manufacturing,growth,654.0002406000,629.7261154000
365,Account 000365,Energy,growth,92.3582560100,92.7418782600
366,Account 000366,Logistics,stable,650.4001377000,618.6723875000
367,Account 000367,EdTech,growth,1278.2532350000,1736.8774940000
368,Account 000368,Consulting,growth,416.0520974000,377.0627759000
369,Account 000369,Retail,stable,50.8394677100,50.0000000000
370,Account 000370,Health,stable,50.0000000000,50.0000000000
371,Account 000371,EdTech,growth,292.1431296000,389.3190402000
372,Account 000372,SaaS,decline,354.0595433000,336.3212165000
373,Account 000373,Energy,growth,957.2321772000,1303.7058430000
374,Account 000374,Health,decline,842.5454218000,931.6820913000
375,Account 000375,Logistics,decline,179.1695691000,192.2307528000
376,Account 000376,EdTech,decline,146.1387579000,117.6831861000
377,Account 000377,EdTech,growth,51.0922870800,50.0000000000
378,Account 000378,Fintech,growth,87.8140160100,98.9859939300
379,Account 000379,Logistics,growth,50.0000000000,61.4375606700
380,Account 000380,Consulting,stable,50.0000000000,65.6247731200
381,Account 000381,Media,growth,196.4799595000,265.6507929000
382,Account 000382,Fintech,growth,64.6430876500,56.5015355600
383,Account 000383,Manufacturing,stable,240.8613411000,174.3933543000
384,Account 000384,Energy,stable,564.7849026000,740.6924553000
385,Account 000385,Logistics,stable,103.4974399000,131.8440765000
386,Account 000386,Consulting,stable,305.6666586000,271.1286480000
387,Account 000387,Retail,decline,56.2107685900,58.9708052900
388,Account 000388,Media,stable,50.0000000000,52.5848102700
389,Account 000389,Health,growth,489.5265814000,612.9869509000
390,Account 000390,Health,growth,410.3995605000,491.9429718000
391,Account 000391,Media,stable,50.0000000000,50.0000000000
392,Account 000392,Media,decline,137.8457701000,50.0000000000
393,Account 000393,SaaS,decline,67.8285995600,54.2074240500
394,Account 000394,SaaS,stable,75.6251893500,110.6843447000
395,Account 000395,Manufacturing,stable,1273.6472050000,651.2046473000
396,Account 000396,Fintech,stable,1023.5639050000,1245.7948120000
397,Account 000397,Retail,stable,50.0000000000,54.7039245600
398,Account 000398,Fintech,stable,54.6896934600,51.0427417800
399,Account 000399,Fintech,stable,214.3259738000,260.1127244000
400,Account 000400,Logistics,growth,50.0000000000,59.1266656300
401,Account 000401,Logistics,growth,433.0177452000,428.0231285000
402,Account 000402,Manufacturing,stable,50.0000000000,50.0000000000
403,Account 000403,Retail,stable,135.2903374000,132.5384308000
404,Account 000404,EdTech,growth,357.4449140000,362.5937485000
405,Account 000405,Media,growth,177.8434348000,230.7323083000
406,Account 000406,EdTech,growth,50.0000000000,66.5165854600
407,Account 000407,Media,growth,59.2352760800,50.0000000000
408,Account 000408,Consulting,stable,116.2528771000,132.9776305000
409,Account 000409,Media,stable,72.5632761400,50.0000000000
410,Account 000410,Health,stable,58.8284433500,70.7730782100
411,Account 000411,Consulting,stable,420.5589038000,430.0546683000
412,Account 000412,Consulting,stable,799.2596814000,601.2265097000
413,Account 000413,Manufacturing,stable,54.1640689800,66.5613107300
414,Account 000414,Energy,stable,587.9203498000,701.8453186000
415,Account 000415,Health,stable,83.0898264200,81.3573123900
416,Account 000416,Consulting,growth,666.7833668000,842.8547933000
417,Account 000417,SaaS,stable,50.0000000000,52.0123003700
418,Account 000418,Logistics,stable,97.1611296700,83.2702692100
419,Account 000419,Health,growth,56.0887986100,69.1214291300
420,Account 000420,Logistics,stable,1549.2846580000,1589.8554600000
421,Account 000421,Energy,stable,176.0923937000,153.3613800000
422,Account 000422,Logistics,growth,58.1356396200,71.3018707300
423,Account 000423,SaaS,decline,86.2760591200,109.0252109000
424,Account 000424,Energy,growth,251.1776258000,274.8198498000
425,Account 000425,EdTech,decline,106.4016397000,114.0745421000
426,Account 000426,Logistics,decline,144.0618671000,159.4748935000
427,Account 000427,Manufacturing,stable,183.9012243000,185.1103433000
428,Account 000428,Media,growth,62.8793566000,50.0000000000
429,Account 000429,Retail,stable,141.7317242000,108.5849911000
430,Account 000430,Energy,decline,68.1538478400,50.0000000000
431,Account 000431,Energy,decline,50.0000000000,50.0000000000
432,Account 000432,Consulting,stable,306.1311208000,384.5263233000
433,Account 000433,Fintech,stable,78.8882415500,86.9550987600
434,Account 000434,Health,stable,58.7503007600,76.2121737800
435,Account 000435,Health,stable,188.4406037000,141.2474479000
436,Account 000436,SaaS,growth,53.1254016500,59.2709939900
437,Account 000437,Health,stable,429.8073009000,492.3453917000
438,Account 000438,Retail,decline,93.8342044000,82.3835062300
439,Account 000439,Fintech,stable,77.3707531700,52.1148725600
440,Account 000440,Manufacturing,decline,53.1988901600,62.4822502400
441,Account 000441,Retail,decline,7457.4934170000,6756.5798520000
442,Account 000442,Consulting,growth,84.6227615800,102.2726918000
443,Account 000443,Energy,decline,63.5092954600,54.0594129900
444,Account 000444,Energy,stable,50.0000000000,50.0000000000
445,Account 000445,Logistics,growth,24414.7099500000,23974.8031200000
446,Account 000446,Logistics,stable,669.6586018000,773.1260081000
447,Account 000447,Fintech,stable,50.0000000000,50.0000000000
448,Account 000448,Manufacturing,stable,198.6292535000,237.4929006000
449,Account 000449,Health,stable,110.3010437000,119.2574843000
450,Account 000450,Consulting,growth,58.8450773700,59.9628754300
451,Account 000451,Fintech,stable,149.5968122000,188.3240796000
452,Account 000452,Fintech,stable,50.0000000000,59.4521835300
453,Account 000453,Consulting,decline,18682.7237700000,23198.2592200000
454,Account 000454,Media,stable,50.0000000000,50.0000000000
455,Account 000455,SaaS,stable,73.3713704500,126.2411712000
456,Account 000456,Logistics,growth,92.7818577300,88.4658105400
457,Account 000457,EdTech,stable,52.8449554200,59.7711208000
458,Account 000458,Consulting,stable,189.5477479000,227.1672716000
459,Account 000459,Logistics,growth,74.5942202500,75.1925538300
460,Account 000460,Fintech,stable,58.8245798300,59.6228923000
461,Account 000461,SaaS,decline,50.0000000000,62.0055047900
462,Account 000462,Fintech,decline,3002.5250760000,4410.3533200000
463,Account 000463,Manufacturing,growth,850.4054495000,1079.8986480000
464,Account 000464,Health,stable,163.5507012000,226.6341252000
465,Account 000465,Logistics,decline,50.0000000000,62.5307303100
466,Account 000466,Energy,growth,300.0652480000,189.4217445000
467,Account 000467,Energy,stable,69.1202067500,88.5622941700
468,Account 000468,EdTech,stable,95.5061192600,98.2032184700
469,Account 000469,Manufacturing,stable,239.5445540000,233.9125715000
