account_id,month,company_size,industry,contract_type,discount_pct,regime_state,active_users,usage_growth,feature_adoption_rate,error_rate,tickets_count,ticket_growth,payment_delay_flag,current_mrr,next_month_mrr,previous_month,previous_mrr,previous_active_users,previous_feature_adoption_rate,previous_error_rate,previous_tickets_count,previous_discount_pct,mrr_change,mrr_change_pct,absolute_mrr_change,change_direction,active_users_change,active_users_change_pct,feature_adoption_change,error_rate_change,tickets_change,tickets_change_pct,discount_change,transaction_id,timestamp,transaction_type,amount,reason_code,transaction_count,transaction_ids,transaction_timestamps,transaction_types,transaction_amounts,reason_codes,transaction_amount_total,transaction_reconciliation_diff,positive_transaction_amount,negative_transaction_amount,new_arr_amount,expansion_amount,contraction_amount,churn_amount,sla_credit_amount,refund_amount,usage_overage_amount,new_arr_share,expansion_share,contraction_share,churn_share,sla_credit_share,refund_share,usage_overage_share,largest_transaction_id,largest_transaction_timestamp,largest_transaction_type,largest_transaction_amount,largest_transaction_reason_code,largest_positive_transaction_amount,largest_negative_transaction_amount,primary_transaction_type,primary_reason_code,primary_driver_amount,primary_driver_share,secondary_transaction_type,secondary_reason_code,secondary_driver_amount,secondary_driver_share,change_classification,usage_signal,adoption_signal,reliability_signal,support_signal,payment_signal,usage_growth_driver_flag,feature_adoption_driver_flag,error_rate_driver_flag,ticket_growth_driver_flag,payment_delay_driver_flag,discount_driver_flag,variance_score,variance_rank,material_variance_flag,account_contribution_to_total_change,account_contribution_pct,company_size_mrr_change,company_size_contribution_pct,industry_mrr_change,industry_contribution_pct,contract_type_mrr_change,contract_type_contribution_pct,prior_3m_avg_mrr,prior_3m_avg_change,prior_3m_avg_change_pct,prior_3m_max_change,prior_3m_min_change,change_vs_prior_3m_avg,historical_change_label,churn_flag,churn_reason_code,driver_summary,evidence_summary
ACC-0007,2,Mid-Market,Technology,Multi-Year,0.0723,stable,139.8835,-0.049257,0.05,0.02,0,,0,19811.56,19811.56,,,,,,,0.0723,0,0,0,increase,,,,,,,,INV-2025-02-001,2025-02-14T10:00:00,New_ARR,19811.56,New_Logo_Signed,1,"[""INV-2025-02-001""]","[""2025-02-14T10:00:00""]","[""New_ARR""]",[19811.56],"[""New_Logo_Signed""]",19811.56,0,19811.56,0,19811.56,0,0,0,0,0,0,1,0,0,0,0,0,0,INV-2025-02-001,2025-02-14T10:00:00,New_ARR,19811.56,New_Logo_Signed,19811.56,0,New_ARR,New_Logo_Signed,19811.56,1,,,0,0,New_ARR,negative,unknown,unknown,unknown,stable,True,False,False,False,False,False,0,4,False,0,0,0,0,0,0,240.19,1,,,,,,,insufficient_history,False,,"New_ARR +19,811.5600","1 transactions; largest INV-2025-02-001 +19,811.5600 (New_Logo_Signed)"
ACC-0008,2,SMB,Logistics,Multi-Year,0.1711,stable,9.4795,0.082872,0.050854,0.011683,1,inf,0,911.54,681.77,1,911.54,7.7823,0.05,0.02,0,0.1711,0,0,0,increase,1.6972,0.2180846279,0.000854,-0.008317,1,inf,0,,,,0,,0,[],[],[],[],[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,0,0,,,0,0,,,0,0,No_Change,positive,stable,stable,stable,stable,True,False,False,False,False,False,0,5,False,0,0,240.19,1,0,0,240.19,1,,,,,,,insufficient_history,False,,No driver activity this period.,0 transactions
ACC-0011,2,SMB,Real Estate,Monthly,0.0649,stable,18.8531,-0.009176,0.069721,0.016012,1,inf,0,2107.97,2107.97,1,2107.97,20.3353,0.05,0.02,0,0.0649,0,0,0,increase,-1.4822,-0.0728880321,0.019721,-0.003988,1,inf,0,,,,0,,0,[],[],[],[],[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,0,0,,,0,0,,,0,0,No_Change,stable,positive,stable,stable,stable,False,True,False,False,False,False,0,6,False,0,0,240.19,1,0,0,0,0,,,,,,,insufficient_history,False,,No driver activity this period.,0 transactions
ACC-0014,2,SMB,Education,Multi-Year,0.0799,stable,67.5394,0.130976,0.05,0.02,0,,0,8869.08,11309.91,,,,,,,0.0799,0,0,0,increase,,,,,,,,INV-2025-02-002,2025-02-24T10:00:00,New_ARR,8869.08,New_Logo_Signed,1,"[""INV-2025-02-002""]","[""2025-02-24T10:00:00""]","[""New_ARR""]",[8869.08],"[""New_Logo_Signed""]",8869.08,0,8869.08,0,8869.08,0,0,0,0,0,0,1,0,0,0,0,0,0,INV-2025-02-002,2025-02-24T10:00:00,New_ARR,8869.08,New_Logo_Signed,8869.08,0,New_ARR,New_Logo_Signed,8869.08,1,,,0,0,New_ARR,positive,unknown,unknown,unknown,stable,True,False,False,False,False,False,0,7,False,0,0,240.19,1,240.19,1,240.19,1,,,,,,,insufficient_history,False,,"New_ARR +8,869.0800","1 transactions; largest INV-2025-02-002 +8,869.0800 (New_Logo_Signed)"
ACC-0015,2,SMB,Fintech,Multi-Year,0.0306,stable,5.6007,-0.039929,0.05,0.02,0,,0,1228.75,1228.75,,,,,,,0.0306,0,0,0,increase,,,,,,,,INV-2025-02-003,2025-02-20T10:00:00,New_ARR,1228.75,New_Logo_Signed,1,"[""INV-2025-02-003""]","[""2025-02-20T10:00:00""]","[""New_ARR""]",[1228.75],"[""New_Logo_Signed""]",1228.75,0,1228.75,0,1228.75,0,0,0,0,0,0,1,0,0,0,0,0,0,INV-2025-02-003,2025-02-20T10:00:00,New_ARR,1228.75,New_Logo_Signed,1228.75,0,New_ARR,New_Logo_Signed,1228.75,1,,,0,0,New_ARR,negative,unknown,unknown,unknown,stable,True,False,False,False,False,False,0,8,False,0,0,240.19,1,0,0,240.19,1,,,,,,,insufficient_history,False,,"New_ARR +1,228.7500","1 transactions; largest INV-2025-02-003 +1,228.7500 (New_Logo_Signed)"
ACC-0030,2,SMB,Education,Multi-Year,0.0329,growth,12.4729,-0.027242,0.066063,0.010206,1,inf,0,1123.64,1123.64,1,883.45,7.7532,0.05,0.02,0,0.0329,240.19,0.2718772992,240.19,increase,4.7197,0.6087421968,0.016063,-0.009794,1,inf,0,INV-2025-02-004,2025-02-13T10:00:00,Expansion,240.19,Seat_Add,1,"[""INV-2025-02-004""]","[""2025-02-13T10:00:00""]","[""Expansion""]",[240.19],"[""Seat_Add""]",240.19,0,240.19,0,0,240.19,0,0,0,0,0,0,1,0,0,0,0,0,INV-2025-02-004,2025-02-13T10:00:00,Expansion,240.19,Seat_Add,240.19,0,Expansion,Seat_Add,240.19,1,,,0,0,Expansion,negative,positive,stable,stable,stable,True,True,False,False,False,False,1,1,True,240.19,1,240.19,1,240.19,1,240.19,1,,,,,,,insufficient_history,False,,Expansion +240.1900,1 transactions; largest INV-2025-02-004 +240.1900 (Seat_Add)
ACC-0043,2,SMB,Media,Annual,0.0855,stable,4.6005,-0.026535,0.04528,0.024457,1,inf,0,465.54,465.54,1,465.54,1.9898,0.05,0.02,0,0.0855,0,0,0,increase,2.6107,1.3120414112,-0.00472,0.004457,1,inf,0,,,,0,,0,[],[],[],[],[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,0,0,,,0,0,,,0,0,No_Change,negative,stable,stable,stable,stable,True,False,False,False,False,False,0,9,False,0,0,240.19,1,0,0,0,0,,,,,,,insufficient_history,False,,No driver activity this period.,0 transactions
ACC-0060,2,Mid-Market,Education,Monthly,0.0488,stable,54.3951,0.044152,0.068301,0.014231,0,,0,12230.26,13935.43,1,12230.26,52.4075,0.05,0.02,0,0.0488,0,0,0,increase,1.9876,0.0379258694,0.018301,-0.005769,0,,0,,,,0,,0,[],[],[],[],[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,0,0,,,0,0,,,0,0,No_Change,positive,positive,stable,stable,stable,True,True,False,False,False,False,0,10,False,0,0,0,0,240.19,1,0,0,,,,,,,insufficient_history,False,,No driver activity this period.,0 transactions
ACC-0070,2,Enterprise,Technology,Annual,0.1814,stable,486.282,0.083208,0.060863,0.016403,0,,0,82488.71,82488.71,1,82488.71,482.9222,0.05,0.02,0,0.1814,0,0,0,increase,3.3598,0.0069572283,0.010863,-0.003597,0,,0,,,,0,,0,[],[],[],[],[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,0,0,,,0,0,,,0,0,No_Change,positive,positive,stable,stable,stable,True,True,False,False,False,False,0,11,False,0,0,0,0,0,0,0,0,,,,,,,insufficient_history,False,,No driver activity this period.,0 transactions
ACC-0001,3,Enterprise,Technology,Annual,0.049,growth,351.3276,-0.049062,0.080135,0.013578,1,inf,0,45436.72,45436.72,2,42000,341.356,0.064958,0.011229,0,0.049,3436.72,0.0818266667,3436.72,increase,9.9716,0.029211732,0.015177,0.002349,1,inf,0,INV-2025-03-001,2025-03-19T10:00:00,Expansion,2964.59,Plan_Upgrade,2,"[""INV-2025-03-001"", ""INV-2025-03-002""]","[""2025-03-19T10:00:00"", ""2025-03-24T10:00:00""]","[""Expansion"", ""Usage_Overage""]","[2964.59, 472.13]","[""Plan_Upgrade"", ""Usage_Above_Commit""]",3436.72,0,3436.72,0,0,2964.59,0,0,0,0,472.13,0,0.8626219186,0,0,0,0,0.1373780814,INV-2025-03-001,2025-03-19T10:00:00,Expansion,2964.59,Plan_Upgrade,2964.59,0,Expansion,Plan_Upgrade,2964.59,0.8626219186,Usage_Overage,Usage_Above_Commit,472.13,0.1373780814,Expansion,negative,positive,stable,stable,stable,True,True,False,False,False,False,0.7540648216,2,True,3436.72,0.4673933591,3436.72,0.4673933591,3436.72,0.4673933591,3436.72,0.4673933591,,,,,,,insufficient_history,False,,"Expansion +2,964.5900; Usage_Overage +472.1300","2 transactions; largest INV-2025-03-001 +2,964.5900 (Plan_Upgrade)"
ACC-0002,3,Enterprise,Healthcare,Annual,0.0064,stable,247.2617,0.037015,0.055386,0.079006,3,2,0,58000,77832.75,2,58000,245.7723,0.052125,0.024822,1,0.0064,0,0,0,increase,1.4894,0.0060600808,0.003261,0.054184,2,2,0,,,,0,,0,[],[],[],[],[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,0,0,,,0,0,,,0,0,No_Change,positive,stable,negative,negative,stable,True,False,True,True,False,False,0,5,False,0,0,3436.72,0.4673933591,0,0,3436.72,0.4673933591,,,,,,,insufficient_history,False,,No driver activity this period.,0 transactions
ACC-0005,3,SMB,Energy,Monthly,0.076,stable,15.0562,0.101931,0.05,0.02,0,,0,1628.2,1628.2,,,,,,,0.076,0,0,0,increase,,,,,,,,INV-2025-03-003,2025-03-24T10:00:00,New_ARR,1628.2,New_Logo_Signed,1,"[""INV-2025-03-003""]","[""2025-03-24T10:00:00""]","[""New_ARR""]",[1628.2],"[""New_Logo_Signed""]",1628.2,0,1628.2,0,1628.2,0,0,0,0,0,0,1,0,0,0,0,0,0,INV-2025-03-003,2025-03-24T10:00:00,New_ARR,1628.2,New_Logo_Signed,1628.2,0,New_ARR,New_Logo_Signed,1628.2,1,,,0,0,New_ARR,positive,unknown,unknown,unknown,stable,True,False,False,False,False,False,0,6,False,0,0,2211.06,0.3007037992,0,0,1705.17,0.2319028417,,,,,,,insufficient_history,False,,"New_ARR +1,628.2000","1 transactions; largest INV-2025-03-003 +1,628.2000 (New_Logo_Signed)"
ACC-0007,3,Mid-Market,Technology,Multi-Year,0.0723,stable,144.8071,-0.044558,0.060412,0.024626,1,inf,0,19811.56,19811.56,2,19811.56,139.8835,0.05,0.02,0,0.0723,0,0,0,increase,4.9236,0.0351978611,0.010412,0.004626,1,inf,0,,,,0,,0,[],[],[],[],[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,0,0,,,0,0,,,0,0,No_Change,negative,positive,stable,stable,stable,True,True,False,False,False,False,0,7,False,0,0,1705.17,0.2319028417,3436.72,0.4673933591,2211.06,0.3007037992,,,,,,,insufficient_history,False,,No driver activity this period.,0 transactions
ACC-0008,3,SMB,Logistics,Multi-Year,0.1711,decline,11.372,-0.017547,0.043582,0.02213,1,0,0,681.77,681.77,2,911.54,9.4795,0.050854,0.011683,1,0.1711,-229.77,-0.252067929,229.77,decrease,1.8925,0.1996413313,-0.007272,0.010447,0,0,0,CR-2025-03-001,2025-03-18T10:00:00,Contraction,-201.36,Seat_Reduction,2,"[""CR-2025-03-001"", ""CR-2025-03-002""]","[""2025-03-18T10:00:00"", ""2025-03-28T10:00:00""]","[""Contraction"", ""Refund""]","[-201.36, -28.41]","[""Seat_Reduction"", ""Billing_Adjustment""]",-229.77,0,0,-229.77,0,0,-201.36,0,0,-28.41,0,0,0,0.8763546155,0,0,0.1236453845,0,CR-2025-03-001,2025-03-18T10:00:00,Contraction,-201.36,Seat_Reduction,0,-201.36,Contraction,Seat_Reduction,-201.36,0.8763546155,Refund,Billing_Adjustment,-28.41,0.1236453845,Contraction,stable,stable,negative,stable,stable,False,False,True,False,False,False,0.3640300841,4,False,-229.77,-0.0312486825,2211.06,0.3007037992,-229.77,-0.0312486825,2211.06,0.3007037992,,,,,,,insufficient_history,False,,Contraction -201.3600; Refund -28.4100,2 transactions; largest CR-2025-03-001 -201.3600 (Seat_Reduction)
ACC-0011,3,SMB,Real Estate,Monthly,0.0649,stable,22.5392,0.027843,0.077536,0.011641,1,0,1,2107.97,0,2,2107.97,18.8531,0.069721,0.016012,1,0.0649,0,0,0,increase,3.6861,0.1955169176,0.007815,-0.004371,0,0,0,,,,0,,0,[],[],[],[],[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,0,0,,,0,0,,,0,0,No_Change,positive,stable,stable,stable,negative,True,False,False,False,True,False,0,8,False,0,0,2211.06,0.3007037992,0,0,1705.17,0.2319028417,,,,,,,insufficient_history,False,,No driver activity this period.,0 transactions
ACC-0014,3,SMB,Education,Multi-Year,0.0799,growth,69.7041,-0.040399,0.060983,0.019832,1,inf,0,11309.91,11309.91,2,8869.08,67.5394,0.05,0.02,0,0.0799,2440.83,0.2752066731,2440.83,increase,2.1647,0.0320509214,0.010983,-0.000168,1,inf,0,INV-2025-03-004,2025-03-10T10:00:00,Expansion,2211.53,Plan_Upgrade,2,"[""INV-2025-03-004"", ""INV-2025-03-005""]","[""2025-03-10T10:00:00"", ""2025-03-15T10:00:00""]","[""Expansion"", ""Usage_Overage""]","[2211.53, 229.3]","[""Plan_Upgrade"", ""Usage_Above_Commit""]",2440.83,0,2440.83,0,0,2211.53,0,0,0,0,229.3,0,0.9060565463,0,0,0,0,0.0939434537,INV-2025-03-004,2025-03-10T10:00:00,Expansion,2211.53,Plan_Upgrade,2211.53,0,Expansion,Plan_Upgrade,2211.53,0.9060565463,Usage_Overage,Usage_Above_Commit,229.3,0.0939434537,Expansion,negative,positive,stable,stable,stable,True,True,False,False,False,False,0.8116435147,1,True,2440.83,0.3319524817,2211.06,0.3007037992,4146,0.5638553234,2211.06,0.3007037992,,,,,,,insufficient_history,False,,"Expansion +2,211.5300; Usage_Overage +229.3000","2 transactions; largest INV-2025-03-004 +2,211.5300 (Plan_Upgrade)"
ACC-0015,3,SMB,Fintech,Multi-Year,0.0306,stable,5.6424,0.064298,0.065527,0.015894,1,inf,1,1228.75,1382.39,2,1228.75,5.6007,0.05,0.02,0,0.0306,0,0,0,increase,0.0417,0.0074454979,0.015527,-0.004106,1,inf,0,,,,0,,0,[],[],[],[],[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,0,0,,,0,0,,,0,0,No_Change,positive,positive,stable,stable,negative,True,True,False,False,True,False,0,9,False,0,0,2211.06,0.3007037992,0,0,2211.06,0.3007037992,,,,,,,insufficient_history,False,,No driver activity this period.,0 transactions
ACC-0016,3,SMB,Education,Annual,0.0936,stable,14.8978,0.018454,0.05,0.02,0,,0,2193.72,2193.72,,,,,,,0.0936,0,0,0,increase,,,,,,,,INV-2025-03-006,2025-03-04T10:00:00,New_ARR,2193.72,New_Logo_Signed,1,"[""INV-2025-03-006""]","[""2025-03-04T10:00:00""]","[""New_ARR""]",[2193.72],"[""New_Logo_Signed""]",2193.72,0,2193.72,0,2193.72,0,0,0,0,0,0,1,0,0,0,0,0,0,INV-2025-03-006,2025-03-04T10:00:00,New_ARR,2193.72,New_Logo_Signed,2193.72,0,New_ARR,New_Logo_Signed,2193.72,1,,,0,0,New_ARR,stable,unknown,unknown,unknown,stable,False,False,False,False,False,False,0,10,False,0,0,2211.06,0.3007037992,4146,0.5638553234,3436.72,0.4673933591,,,,,,,insufficient_history,False,,"New_ARR +2,193.7200","1 transactions; largest INV-2025-03-006 +2,193.7200 (New_Logo_Signed)"
ACC-0017,3,Mid-Market,Healthcare,Annual,0.1074,stable,4.6409,0.005299,0.05,0.02,0,,0,1048.39,1407.22,,,,,,,0.1074,0,0,0,increase,,,,,,,,INV-2025-03-007,2025-03-11T10:00:00,New_ARR,1048.39,New_Logo_Signed,1,"[""INV-2025-03-007""]","[""2025-03-11T10:00:00""]","[""New_ARR""]",[1048.39],"[""New_Logo_Signed""]",1048.39,0,1048.39,0,1048.39,0,0,0,0,0,0,1,0,0,0,0,0,0,INV-2025-03-007,2025-03-11T10:00:00,New_ARR,1048.39,New_Logo_Signed,1048.39,0,New_ARR,New_Logo_Signed,1048.39,1,,,0,0,New_ARR,stable,unknown,unknown,unknown,stable,False,False,False,False,False,False,0,11,False,0,0,1705.17,0.2319028417,0,0,3436.72,0.4673933591,,,,,,,insufficient_history,False,,"New_ARR +1,048.3900","1 transactions; largest INV-2025-03-007 +1,048.3900 (New_Logo_Signed)"
